post_title,post_name,description,sku,images,post_parent,comment_status,downloadable,virtual,post_status,visibility,stock_status,backorders,manage_stock,meta:brand,meta:ean_number,regular_price,sale_price,weight,tax_status,gpf:brand,gpf:mpn
York Black Vinyl Aerobic Set-No Bar,york-black-vinyl-aerobic-set-no-bar,"Durable Vinyl Disk Casing
Easy Screw On End Collars
35lb Set comprises of 2 x 2.5lb,2 x 5lb, and 2 x 10lb weight discs.
Suited to match with 1” Diameter, 54’’ length Chrome plated steel Aerobic Bar (York code 1174)
not included.",1170,1170-1174-vinyl-aerobic-set-bar.jpg | 1170-black-vinyl-aerobic-set.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961011708,31,,18,taxable,York Fitness,14961011708
"York 54"" Chrome Aerobic Bar",york-54-inch-chrome-aerobic-bar,"The York Aerobic bar is 54” (137.2cm) long and features fixed inner collars, as well as a knurled texture for better hand positioning. This hollow, chrome plated steel bar weighs 1.5kg (3.3lbs) and has a diameter of 1” (2.5cm). The maximum loading capacity of the bar is 55kg (121.2lbs). Chrome plated steel bar
Hollow
Knurled texture
Fixed inner collars
Length: 54” (137.2cm)
Diameter: 1” (2.5cm)
Maximum Loading Capacity: 55kg (121.2lbs)
Weight: 1.5kg (3.3lbs)",1174,1174-54-chrome-aerobic-bar.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961011746,16.99,,1.5,taxable,York Fitness,14961011746
York 10kg Vinyl Fitbell Set - in a case,york-10kg-vinyl-fitbell-set-in-a-case,"Contains 2 x 1kg purple fitbells, 2 x 1.5kg green fitbells, 2 x 2.5kg blue fitbells and a full colour exercise wallchart.",1678,1678-02-fitbell-set-in-a-case.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961016789,40,,11.5,taxable,York Fitness,14961016789
"York 4 x 5kg Black Cast Iron 1"" Plates",york-4-x-5kg black-cast-iron-1-inch-plates,"Four weight plates
Hole diameter: 1” (2.5cm)
Weight symbol engraved on the side
Weight: 5kg (11lbs)",2413,2413-4-of-5kg-black-cast-iron-1-plates.jpg | 2413-4-of-5kg-cast-iron-plates.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961024135,44.99,,20.5,taxable,York Fitness,14961024135
"York 4 x 7.5kg Black Cast Iron 1"" Plates",york-4-x-75kg black-cast-iron-1-inch-plates,"Four weight plates
Hole diameter: 1” (2.5cm)
Weight symbol engraved on the side
Weight: 7.5kg (16.5lbs)
Bar not included",2414,2414-4-of-7pt5kg-black-cast-iron-1-plates.jpg | 2414-4-of-7pt5kg-black-cast-iron-1-plates-2.jpg | 2414-4-of-7pt5kg-black-cast-iron-1-plates-3.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961024142,67.99,,31,taxable,York Fitness,14961024142
"York 2 x 10kg Black Cast Iron 1"" Plates",york-pair-10kg black-cast-iron-1-inch-plates,"Pair of weight plates
Hole diameter: 1” (2.5cm)
Weight: 10kg (22lbs)",2415,2415-2-of-10kg-black-cast-iron-1-plates.jpg | 2415-2-of-10kg-cast-iron-plates.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961024159,44.99,,20.5,taxable,York Fitness,14961024159
"York 1 x 15kg Black Cast Iron 1"" Plates",york-15kg black-cast-iron-1-inch-plates,"Single weight plate
Hole diameter: 1” (2.5cm)
Weight: 15kg (33lbs)
Bar not included",2416,2416-1-of-15kg-black-cast-iron-1-plate.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961024166,34,,15.5,taxable,York Fitness,14961024166
"York 1 x 20kg Black Cast Iron 1"" Plates",york-20kg black-cast-iron-1-inch-plates,"Single weight plate
Hole diameter: 1” (2.5cm)
Weight: 20kg (44lbs)
Bar not included",2417,2417-1-of-20kg-black-cast-iron-1-plate.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961024173,44.99,,20.5,taxable,York Fitness,14961024173
"York 1 x 25kg Black Cast Iron 1"" Plates",york-25kg black-cast-iron-1-inch-plates,"Traditional design
1 x 25 kg plate
Curved edge
Solid build
Machine bored 1 inch diameter central bar hole
Matt black finish
Embossed York logo and weight mark
Bar not included
York Fitness 1 X 25 Kg Black Cast Iron 1 Inch Plate",2418,2418-1-of-25kg-black-cast-iron-1-plate.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961024180,55,,25.5,taxable,York Fitness,14961024180
"York 8 x 1.25kg Black Cast Iron 1"" Plates",york-8-x-125kg black-cast-iron-1-inch-plates,"Eight weight plates
Hole diameter: 1” (2.5cm)
Weight symbol engraved on the side
Weight: 1.25kg (2.7lbs)
Bar not included",2419,2419-8-of-1pt25kg-black-cast-iron-1-plates.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961024197,22.99,,10.5,taxable,York Fitness,14961024197
