Taxonomy_Product_Type,Brand,SKU,Barcode,Product_Title,Category,Subcategory,Subsubcategory,USP 1,USP 2,Bullet Points,Setup Length (cm),Setup Width (cm),Setup Height (cm),Folded Width (cm),Folded Height (cm),Transport Wheels,Folding Action,User Weight Limit (Kg),Max. Load (Kg),Certification (EN Class),Assembly Required,Adjustment Type,Levels Of Resistance,Footplate Spec,Crank Arm / Stride Length (cm),Flywheel Weight,HP Rating,Seat Height,LCD Backlight,Number Of Programmes,Programmes,Running Belt,Suspension,Speed Range - Distance Measure,Speed Range From,Speed Range To,Incline Level,Speaker Spec,Computer Spec,Handle Spec,Weight Stack (kg),Features,Functions,Batteries Required,Qty. Batteries Required,Mains Power Required,Mains Voltage,Adapter Used,Frame Warranty,Computer Warranty,Brake Warranty,Plastic Warranty,Motor Warranty,Labour Warranty,Image 1,Image 2,Image 3,Image 4,RFE Range,RFE Product Category
Equipment,Reebok,RE1-11600,5055436102953,S1 Indoor Bike - Black/Blue,Cardio and Fitness Equipment,Exercise Bikes,,"The S1 Indoor Bike can help you work out a much larger set of muscle groups as opposed to standard indoor cycles due to the larger variety of positions you can assume.  There are 5 standard positions in spinning: seated flat, standing flat, seated climb, standing climb and jumps.  The emphasis of spinning is to replicate road bikes movements as closely as possible at the same time working key muscles in the legs, core, back and upper body for a more complete workout. To aid this, the S1 features a substantial 14kg flywheel, providing the rider with a much smoother ride compared to standard exercise bikes.  32 levels of electronically controlled resistance also provide that extra challenge.  The new and innovative self-powered generator system means that you can take your workout anywhere without the need to worry about a power source.  Your motion powers such features as the hand pulse sensor and the versatile computer display which shows a wide range of functions including speed, time, distance and your calories burnt to stay on top of your workout.","Spin bikes can help maximise your body’s fat burning ability and at the same time offering a low impact workout.  Motion in different areas of the body including the shoulders, back and legs help further improve your fat burning potential in less time!",,119,52,119,,,No,N/A,135,,"EN 957-1 - General safety requirement and test methods,EN 957-5 - Pedal crank training equipment, additional specific safety requirements and test methods",Yes,New generator power system,32,,,14,,From 77cm To 92cm,Yes,20,"Manual, Target Time, Target Distance, Target Calories, Watts Control, Heart Rate Control, Recovery, User defined program, 12 Preset programmes",,,,,,,No,Single LCD 50 x 80mm model number SG7204-67,,Vertical adjustment,"Hand Pulse Sensor, Water Bottle Holder, Transport Wheels, Floor Level Adjustment, Self-Generating Power, Handlebar Adjustment","Speed, Time, Distance, Calories, Pulse, Watts, RPM",Yes,Cylinder - AA (x 5),Yes,"220V, 230V AC, 240V",Yes,2 years,2 years,2 years,2 years,N/A,2 years,s1b-side-girl-cc-onblack.jpg,,,,Z Series,Bikes
Equipment,Reebok,RE1-11700BK,5055436100829,ZR7 Bike - Black/Orange,Cardio and Fitness Equipment,Exercise Bikes,,"The Reebok ZR7 Exercise Bike offers the experience to get on and go if you are new to cycling, whilst still helping you benefit from the best possible cycling workout.  With a large LCD screen, you can easily view your key stats such as time, distance, calories burnt and your pulse rate with the conveniently located hand pulse sensors on the handlebars.","Cycling can provide a fantastic workout for many of the body's key muscles.  The glutes, hamstrings and quads are all active whilst cycling, plus you get an excellent cardiovascular workout.  The 8 levels of resistance manually controlled with the ZR7 adds extra dimension to the workout of these muscles for an additional challenge, coupled with the option to set target time, distance or calories to offer variety every time you use it. The inclusion on a 7kg flywheel plus the adjustable pedals and comfort saddle aids in the workout of all the key muscle groups for a smooth and comfortable ride.",,100,52,136,,,Yes,N/A,120,,"EN 957-1 - General safety requirement and test methods,EN 957-5 - Pedal crank training equipment, additional specific safety requirements and test methods",Yes,Manual adjustment,8,,,7,,From 66cm To 90cm,No,5,"Manual, Target Time, Target Distance, Target Calories, Recovery",,,,,,,No,Single LCD 126 x 57mm model number ST7640-67,,Angle adjustment,"Hand Pulse Sensor, Transport Wheels, Floor Level Adjustment","Speed, Time, Distance, Calories, Pulse, RPM, Clock",Yes,Cylinder - AA (x 2),No,,No,2 years,2 years,2 years,2 years,N/A,2 years,4-zr7-bike-console.jpg,,,,Z Series,Bikes
Equipment,Reebok,RE1-11700GN,5055436103196,ZR7 Bike - Black/Green,Cardio and Fitness Equipment,Exercise Bikes,,Large LCD.,Manual system with 8 resistance levels.,,100,52.5,136,,,Yes,N/A,120,,"EN 957-1 - General safety requirement and test methods,EN 957-5 - Pedal crank training equipment, additional specific safety requirements and test methods",Yes,Manual adjustment,8,,,7,,From 66cm To 90cm,No,5,"Manual, Target Time, Target Distance, Target Calories, Recovery",,,,,,,No,Single LCD 126 x 57mm model number ST7640-67,,Angle adjustment,"Hand Pulse Sensor, Floor Level Adjustment","Speed, Time, Distance, Calories, Pulse, RPM, Clock",Yes,Cylinder - AA (x 2),No,,No,2 years,2 years,2 years,2 years,,2 years,4-re1-11700gn-zr7-bike-console.jpg,4-re1-11700gn-zr7-bike-3-qtr-right-rear.jpg,,,Z Series,Bikes
Equipment,Reebok,RE1-11700PL,5055436100973,ZR7 Bike - Black/Purple,Cardio and Fitness Equipment,Exercise Bikes,,"The Reebok ZR7 Exercise Bike offers the experience to get on and go if you are new to cycling, whilst still helping you benefit from the best possible cycling workout. With a large LCD screen, you can easily view your key stats such as time, distance, calories burnt and your pulse rate with the conveniently located hand pulse sensors on the handlebars.","Cycling can provide a fantastic workout for many of the body's key muscles. The glutes, hamstrings and quads are all active whilst cycling, plus you get an excellent cardiovascular workout. The 8 levels of resistance manually controlled with the ZR7 adds extra dimension to the workout of these muscles for an additional challenge, coupled with the option to set target time, distance or calories to offer variety every time you use it. The inclusion on a 7kg flywheel plus the adjustable pedals and comfort saddle aids in the workout of all the key muscle groups for a smooth and comfortable ride.",,100,52,136,,,Yes,,120,,"EN 957-1 - General safety requirement and test methods,EN 957-5 - Pedal crank training equipment, additional specific safety requirements and test methods",Yes,Manual adjustment,8,,,7,,From 66cm To 90cm,No,5,"Manual, Target Time, Target Distance, Target Calories, Target Pulse",,,,,,,No,Single LCD 126 x 57mm model number ST7640-67,,,,"Speed, Time, Distance, Calories, Pulse, RPM, Clock",Yes,Cylinder - AA (x 2),No,,No,2 years,2 years,2 years,2 years,2 years,2 years,4-zr7-bike.jpg,,,,Z Series,Bikes
Equipment,Reebok,RE1-11700WH,5055436100973,ZR7 Bike - White/Orange,Cardio and Fitness Equipment,Exercise Bikes,,"The Reebok ZR7 Exercise Bike offers the experience to get on and go if you are new to cycling, whilst still helping you benefit from the best possible cycling workout.  With a large LCD screen, you can easily view your key stats such as time, distance, calories burnt and your pulse rate with the conveniently located hand pulse sensors on the handlebars.","Cycling can provide a fantastic workout for many of the body's key muscles.  The glutes, hamstrings and quads are all active whilst cycling, plus you get an excellent cardiovascular workout.  The 8 levels of resistance manually controlled with the ZR7 adds extra dimension to the workout of these muscles for an additional challenge, coupled with the option to set target time, distance or calories to offer variety every time you use it. The inclusion on a 7kg flywheel plus the adjustable pedals and comfort saddle aids in the workout of all the key muscle groups for a smooth and comfortable ride.",,100,52,136,,,Yes,N/A,120,,"EN 957-1 - General safety requirement and test methods,EN 957-5 - Pedal crank training equipment, additional specific safety requirements and test methods",Yes,Manual adjustment,8,,,7,,From 66cm To 90cm,No,5,"Manual, Target Time, Target Distance, Target Calories, Recovery",,,,,,,No,Single LCD 126 x 57mm model number ST7640-67,,Angle adjustment,"Hand Pulse Sensor, Transport Wheels, Floor Level Adjustment","Speed, Time, Distance, Calories, Pulse, RPM, Clock",Yes,Cylinder - AA (x 2),No,,No,2 years,2 years,2 years,2 years,N/A,2 years,4-re1-11700wh-3qt-rear-right.jpg,,,,Z Series,Bikes
Equipment,Reebok,RE1-11700WHBK,5055436103967,ZR7 Bike White/Black,Cardio and Fitness Equipment,Exercise Bikes,,,,,100,52,136,,,Yes,,120,,,No,Manual adjustment,,,,7,,,,,,,,,,,,,,,,,,No,,No,,No,,,,,,,,,,,Z Series,Bikes
Equipment,Reebok,RE1-11800BK,5055436102830,ZR8 Bike - Black/Yellow,Cardio and Fitness Equipment,Exercise Bikes,,"The Reebok ZR8 Exercise Bike provides a wide range of features to help you benefit from the best possible cycling workout.  With a large LCD screen with dual backlight, you are able to easily view your progress in addition to a number of functions such as speed, times, distance and even your pulse with the conveniently located hand pulse sensors on the handlebars.","Cycling can provide a fantastic workout for many of the body's key muscles.  The glutes, hamstrings and quads are all active whilst cycling, plus you get an excellent cardiovascular workout.  The 32 levels of resistance with the ZR8 reinforces the workout of these muscles for an additional challenge, coupled with the inclusion of 19 programmes to offer variety everytime you jump on.The inclusion of a 9kg flywheel plus the adjustable pedals and comfort saddle aids in the workout of all the key muscle groups for a smooth and comfortable ride.",,102.3,48,132,,,Yes,N/A,120,,"EN 957-1 - General safety requirement and test methods,EN 957-5 - Pedal crank training equipment, additional specific safety requirements and test methods",Yes,Electronic computer control,32,,,9,,From 71cm To 98cm,Yes & Red LED buttons,19,"Manual, Target Time, Target Distance, Target Calories, Watts Control, Recovery, User defined program, 12 Preset programmes",,,,,,,No,Single LCD 126 x 57mm model number SM7286-67,,Angle adjustment,"Hand Pulse Sensor, Transport Wheels, Floor Level Adjustment, Handlebar Adjustment","Speed, Time, Distance, Calories, Pulse, Watts, RPM",No,,Yes,"220V, 230V AC, 240V",Yes,2 years,2 years,2 years,2 years,N/A,2 years,4-zr8-bike-black.jpg,,,,Z Series,Bikes
Equipment,Reebok,RE1-11800RD,5055436103226,ZR8 Bike - Black/Red,Cardio and Fitness Equipment,Exercise Bikes,,Large LCD with dual backlight.,32 resistance levels controlled by computer.,,99,28,58.5,,,Yes,N/A,120,,"EN 957-1 - General safety requirement and test methods,EN 957-5 - Pedal crank training equipment, additional specific safety requirements and test methods",Yes,Electronic computer control,32,,,9,,From 71cm To 98cm,Yes & Red LED buttons,19,"Manual, Target Time, Target Distance, Target Calories, Watts Control, Recovery, User defined program, 12 Preset programmes",,,,,,,No,Single LCD 126 x 57mm model number SM7286-67,,Angle adjustment,"Hand Pulse Sensor, Floor Level Adjustment","Speed, Time, Distance, Calories, Pulse, Watts",No,,Yes,"220V, 230V AC, 240V",Yes,2 years,2 years,2 years,2 years,,2 years,4-re1-11800rd-zr8-3-qtr-rear-right.jpg,,,,Z Series,Bikes
Equipment,Reebok,RE1-11800WH,5055436102847,ZR8 Bike - White/Yellow,Cardio and Fitness Equipment,Exercise Bikes,,"The Reebok ZR8 Exercise Bike provides a wide range of features to help you benefit from the best possible cycling workout.  With a large LCD screen with dual backlight, you are able to easily view your progress in addition to a number of functions such as speed, times, distance and even your pulse with the conveniently located hand pulse sensors on the handlebars.","Cycling can provide a fantastic workout for many of the body's key muscles.  The glutes, hamstrings and quads are all active whilst cycling, plus you get an excellent cardiovascular workout.  The 32 levels of resistance with the ZR8 reinforces the workout of these muscles for an additional challenge, coupled with the inclusion of 19 programmes to offer variety everytime you jump on.The inclusion of a 9kg flywheel plus the adjustable pedals and comfort saddle aids in the workout of all the key muscle groups for a smooth and comfortable ride.",,102.3,48,132,,,Yes,N/A,120,,"EN 957-1 - General safety requirement and test methods,EN 957-5 - Pedal crank training equipment, additional specific safety requirements and test methods",Yes,Electronic computer control,32,,,9,,From 71cm To 98cm,Yes & Red LED buttons,19,"Manual, Target Time, Target Distance, Target Calories, Watts Control, Recovery, User defined program, 12 Preset programmes",,,,,,,No,Single LCD 126 x 57mm model number SM7286-67,,Angle adjustment,"Hand Pulse Sensor, Transport Wheels, Floor Level Adjustment, Handlebar Adjustment","Speed, Time, Distance, Calories, Pulse, Watts, RPM",No,,Yes,"220V, 230V AC, 240V",Yes,2 years,2 years,2 years,2 years,N/A,2 years,4-zr8-bike-wh1.jpg,,,,Z Series,Bikes
Equipment,Reebok,RE1-11900BK,,Z9 Bike Black,Cardio and Fitness Equipment,Exercise Bikes,,"The Reebok ZR8 Exercise Bike provides a wide range of features to help you benefit from the best possible cycling workout.  With a large LCD screen with dual backlight, you are able to easily view your progress in addition to a number of functions such as speed, times, distance and even your pulse with the conveniently located hand pulse sensors on the handlebars.","Cycling can provide a fantastic workout for many of the body's key muscles.  The glutes, hamstrings and quads are all active whilst cycling, plus you get an excellent cardiovascular workout.  The 32 levels of resistance with the ZR8 reinforces the workout of these muscles for an additional challenge, coupled with the inclusion of 19 programmes to offer variety everytime you jump on.The inclusion of a 9kg flywheel plus the adjustable pedals and comfort saddle aids in the workout of all the key muscle groups for a smooth and comfortable ride.",,102.3,48,132,,,Yes,N/A,120,,"EN 957-1 - General safety requirement and test methods,EN 957-5 - Pedal crank training equipment, additional specific safety requirements and test methods",Yes,Electronic computer control,32,,,9,,From 71cm To 98cm,Yes & Red LED buttons,19,"Manual, Target Time, Target Distance, Target Calories, Watts Control, Recovery, User defined program, 12 Preset programmes",,,,,,,No,Single LCD 126 x 57mm model number SM7286-67,,Angle adjustment,"Hand Pulse Sensor, Transport Wheels, Floor Level Adjustment, Handlebar Adjustment",,No,,Yes,"220V, 230V AC, 240V",Yes,2 years,2 years,2 years,2 years,N/A,2 years,,,,,Z Series,Bikes
